start,end,duration_minutes
2017-03-22 12:25:00,2017-03-22 12:30:00,5.0
2017-05-20 00:00:00,2017-05-29 21:25:00,14245.0
2017-09-16 17:15:00,2017-09-16 17:20:00,5.0
2017-09-20 01:30:00,2017-10-11 21:45:00,31455.0
2017-10-12 00:15:00,2017-10-18 00:05:00,8630.0
2017-11-28 18:35:00,2017-12-05 09:05:00,9510.0
2017-12-05 12:45:00,2017-12-07 04:50:00,2405.0
2018-04-01 19:55:00,2018-04-02 17:25:00,1290.0
2018-07-04 15:55:00,2018-07-07 14:30:00,4235.0
2018-08-28 21:15:00,2018-08-31 23:35:00,4460.0
2018-08-31 23:40:00,2018-08-31 23:50:00,10.0
2018-09-15 03:20:00,2018-09-16 03:40:00,1460.0
2018-09-25 11:15:00,2018-10-15 12:05:00,28850.0
2019-03-08 04:00:00,2019-03-15 06:35:00,10235.0
2019-05-04 00:10:00,2019-05-11 04:45:00,10355.0
2019-06-02 00:45:00,2019-06-02 01:10:00,25.0
2019-06-02 01:35:00,2019-06-18 22:55:00,24320.0
2019-07-31 13:55:00,2019-07-31 17:40:00,225.0
2019-07-31 17:45:00,2019-08-11 12:40:00,15535.0
2019-09-13 04:20:00,2019-10-22 09:30:00,56470.0
2019-11-29 04:00:00,2019-12-05 12:20:00,9140.0
2019-12-05 12:25:00,2019-12-21 17:30:00,23345.0
2019-12-21 17:55:00,2019-12-21 20:50:00,175.0
2020-03-21 06:20:00,2020-03-21 08:40:00,140.0
2020-03-21 18:20:00,2020-04-27 12:30:00,52930.0
